lux,r,g,b
18,184,141,73
18,183,140,72
18,184,142,73
18,184,141,73
18,253,198,108
12,189,140,107
27,251,167,157
29,218,147,133
28,248,170,150
18,182,140,72
18,184,142,73
18,252,197,107
35,185,214,150
44,179,236,164
51,184,243,175
58,171,242,159
18,253,198,108
18,183,141,73
20,205,175,115
35,89,167,253
36,106,167,233
42,128,180,232
43,111,170,233
18,183,141,73
18,244,192,105
105,248,253,131
105,244,232,121
100,238,224,124
18,183,141,73
18,182,140,72
18,250,197,107
50,245,109,82
61,243,108,82
66,250,111,86
18,183,141,73
18,253,198,108
33,238,210,177
36,215,192,160
41,248,225,189
11,242,193,136
18,183,140,72
18,182,140,72
18,182,140,72
0,0,0,0
18,183,140,73
17,247,188,98
17,247,188,98
17,245,188,98
5,114,66,30
8,182,114,60
5,132,69,34
3,208,106,58
17,247,188,98
18,248,189,99
17,247,188,98
17,247,188,99
3,183,95,45
6,136,75,36
6,141,83,39
17,247,188,98
14,197,145,74
5,129,70,34
2,140,61,29
18,248,189,99
17,247,188,98
17,245,188,98
7,165,95,44
10,230,159,83
17,245,188,98
17,245,188,98
5,128,58,26
5,145,68,32
17,247,188,98
17,244,187,98
12,177,126,64
5,121,63,28
5,111,56,24
17,247,188,98
17,244,185,97
18,248,189,99
17,247,188,98
18,247,189,99
18,248,189,99
17,247,188,98
18,248,189,99
18,248,189,99
17,247,188,98
18,248,189,99
17,247,188,98
18,247,189,98
18,248,189,99
17,245,188,98
18,248,189,99
17,247,188,98
17,247,188,98
18,249,190,99
17,247,188,98
